
=== Leaderboard (686502 games, 139 errored) ===
player                       elo  games   score   +/-
v0.40.0_50000                605   2864    0.46     6
v0.50.0_100000               602   2862    0.46     6
v0.40.0_30000                602   2864    0.46     6
v0.49.0_40000                602   2864    0.46     6
v0.34.0_40000                600   2865    0.45     6
v0.44.0_60000                600   2864    0.45     6
v0.44.0_30000                600   2864    0.45     6
v0.50.0_90000                598   2864    0.45     6
v0.44.0_50000                598   2864    0.45     6
v0.38.0_40000                597   2864    0.45     6
v0.50.0_110000               597    936    0.35    11
v0.50.0_130000               597    936    0.35    11
v0.48.0_80000                596   2864    0.45     6
v0.32.0_60000                595   2865    0.45     6
v0.2.0_100000                594   4072    0.46     5
v0.43.0_210000               594   2864    0.45     6
v0.39.0_90000                593   2864    0.45     6
v0.50.0_120000               592    936    0.34    11
v0.48.0_60000                591   2864    0.44     6
v0.38.0_50000                590   2863    0.44     6
v0.32.0_70000                589   2866    0.44     6
v0.41.0_30000                589   2864    0.44     6
v0.48.0_70000                589   2864    0.44     6
v0.34.0_70000                589   2866    0.44     6
v0.50.0_80000                588   2864    0.44     6
v0.40.0_20000                588   2864    0.44     6
v0.50.0_40000                587   2864    0.44     6
v0.50.0_70000                586   2864    0.44     6
v0.50.0_60000                584   2864    0.43     6
v0.48.0_59046                584   2864    0.43     6
v0.37.0_80000                582   2866    0.43     6
v0.49.0_30000                582   2864    0.43     6
v0.38.0_60000                581   2864    0.43     6
v0.38.0_30000                580   2864    0.43     6
v0.43.0_150000               580   2864    0.43     6
v0.43.0_160000               579   2864    0.43     6
v0.43.0_140000               579   2864    0.43     6
v0.43.0_180000               577   2864    0.42     6
v0.43.0_170000               577   2863    0.42     6
v0.38.0_80000                576   2864    0.42     6
v0.48.0_230000               575   2864    0.42     6
v0.48.0_50000                575   2864    0.42     6
v0.38.0_70000                575   2864    0.42     6
v0.33.0_40000                575   2866    0.42     6
v0.43.0_100000               575   2864    0.42     6
v0.33.0_190000               574   2866    0.42     6
v0.36.0_40000                573   2865    0.42     6
v0.43.0_90000                572   2864    0.42     6
v0.48.0_240000               572   2864    0.42     6
v0.43.0_130000               571   2864    0.42     6
v0.50.0_50000                571   2864    0.42     6
v0.47.0_30000                571   2864    0.42     6
v0.34.0_50000                570   2865    0.42     6
v0.43.0_120000               569   2864    0.41     6
v0.43.0_80000                569   2864    0.41     6
v0.36.0_50000                568   2866    0.41     6
v0.42.0_30000                565   2864    0.41     6
v0.48.0_40000                563   2864    0.41     6
v0.43.0_110000               561   2864    0.40     6
v0.38.0_20000                561   2864    0.40     6
v0.34.0_60000                553   2864    0.39     6
v0.47.0_20000                551   2864    0.39     6
v0.32.0_150000               547   2865    0.39     6
v0.32.0_80000                545   2864    0.38     6
v0.43.0_60000                543   2864    0.38     6
v0.32.0_140000               541   2868    0.38     6
v0.37.0_20000                530   2866    0.36     6
v0.33.0_10000                527   2864    0.36     6
v0.43.0_70000                525   2864    0.36     6
v0.48.0_30000                525   2864    0.36     6
v0.43.0_40000                524   2864    0.36     6
v0.43.0_50000                523   2864    0.36     6
v0.49.0_20000                516   2864    0.35     6
v0.41.0_20000                514   2864    0.35     6
v0.42.0_20000                505   2864    0.33     6
v0.43.0_20000                504   2864    0.33     6
v0.46.0_80000                503   2864    0.33     6
v0.46.0_40000                503   2864    0.33     6
v0.46.0_50000                502   2864    0.33     6
v0.46.0_60000                500   2864    0.33     6
v0.46.0_30000                499   2864    0.33     6
v0.46.0_70000                499   2864    0.33     6
v0.50.0_30000                496   2861    0.32     6
v0.43.0_30000                489   2864    0.32     6
v0.2.0_1000000               486   4072    0.30     5
v0.48.0_20000                472   2864    0.30     6
v0.39.0_80000                455   2864    0.28     6
v0.45.0_10000                449   2864    0.27     6
v0.49.0_10000                446   2864    0.27     6
v0.51.0_20000                439    936    0.18    11
v0.46.0_20000                439   2864    0.26     6
v0.43.0_10000                436   2864    0.26     6
v0.41.0_10000                434   2864    0.26     6
v0.50.0_20000                432   2864    0.25     6
v0.35.0_10000                430   2865    0.25     6
v0.44.0_20000                430   2864    0.25     6
v0.39.0_70000                428   2864    0.25     6
v0.39.0_50000                424   2864    0.25     6
v0.39.0_60000                424   2864    0.25     6
v0.38.0_10000                422   2864    0.24     6
v0.40.0_10000                414   2864    0.24     6
v0.44.0_10000                411   2864    0.23     6
v0.39.0_40000                402   2864    0.22     6
v0.42.0_10000                398   2864    0.22     6
v0.46.0_10000                397   2864    0.22     6
v0.48.0_10000                382   2864    0.21     6
v0.39.0_30000                381   2864    0.21     6
v0.39.0_20000                379   2864    0.20     6
v0.51.0_10000                365    933    0.13    11
v0.47.0_10000                357   2864    0.19     6
trout                        321   4200    0.16     5
v0.34.0_10000                304   2869    0.15     6
v0.39.0_10000                245   2864    0.11     6
v0.50.0_10000                244   2863    0.11     6
v0.37.0_10000                133   2864    0.06     6
random                         0   4200    0.03     5
